,Open,High,Low,Close,Adj Close,Volume
2022-07-13 10:00:00,19795.919921875,19796.830078125,19722.60546875,19770.763671875,19770.763671875,0.0
2022-07-13 11:00:00,19775.376953125,19832.318359375,19762.330078125,19821.853515625,19821.853515625,0.0
2022-07-13 12:00:00,19832.41015625,19932.611328125,19093.572265625,19134.02734375,19134.02734375,3129544704.0
2022-07-13 13:00:00,19159.55078125,19285.46875,19029.39453125,19278.751953125,19278.751953125,1872623616.0
2022-07-13 14:00:00,19281.435546875,19600.1796875,19233.38671875,19590.09765625,19590.09765625,1588277248.0
2022-07-13 15:00:00,19585.0390625,19623.41015625,19420.46484375,19463.0703125,19463.0703125,703123456.0
2022-07-13 16:00:00,19456.486328125,19582.97265625,19289.470703125,19582.97265625,19582.97265625,0.0
2022-07-13 17:00:00,19599.974609375,19884.818359375,19599.974609375,19849.94921875,19849.94921875,1958901760.0
2022-07-13 18:00:00,19860.755859375,19860.755859375,19706.0234375,19807.251953125,19807.251953125,514306048.0
2022-07-13 19:00:00,19823.560546875,19823.560546875,19661.580078125,19661.580078125,19661.580078125,0.0
2022-07-13 20:00:00,19659.935546875,19693.677734375,19623.310546875,19659.623046875,19659.623046875,0.0
2022-07-13 21:00:00,19660.61328125,19911.724609375,19657.947265625,19911.724609375,19911.724609375,465577984.0
2022-07-13 22:00:00,19907.017578125,19954.353515625,19839.751953125,19845.537109375,19845.537109375,0.0
2022-07-13 23:00:00,19844.3671875,20210.705078125,19844.3671875,20198.314453125,20198.314453125,1177518080.0
2022-07-14 00:00:00,20211.466796875,20306.697265625,20189.814453125,20301.798828125,20301.798828125,575293440.0
2022-07-14 01:00:00,20298.54296875,20361.119140625,20242.912109375,20251.494140625,20251.494140625,427958272.0
2022-07-14 02:00:00,20266.27734375,20276.21875,20203.337890625,20208.408203125,20208.408203125,57049088.0
2022-07-14 03:00:00,20216.130859375,20332.38671875,20216.130859375,20220.8203125,20220.8203125,302254080.0
2022-07-14 04:00:00,20221.865234375,20241.435546875,20093.84375,20093.84375,20093.84375,394072064.0
2022-07-14 05:00:00,20096.34765625,20187.29296875,20089.33984375,20098.62109375,20098.62109375,240533504.0
2022-07-14 06:00:00,20102.681640625,20114.482421875,19964.87890625,20019.041015625,20019.041015625,555507712.0
2022-07-14 07:00:00,20024.470703125,20028.728515625,19959.794921875,19984.2890625,19984.2890625,0.0
2022-07-14 08:00:00,19980.97265625,20007.46875,19782.4375,19782.4375,19782.4375,0.0
2022-07-14 09:00:00,19781.646484375,19800.611328125,19729.9296875,19791.802734375,19791.802734375,389967872.0
2022-07-14 10:00:00,19812.353515625,19827.07421875,19771.833984375,19781.37109375,19781.37109375,368009216.0
